age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL,AL_proba,GL,GL_proba,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.94431096,0.0,0.9555408,1,0.100362405
27,2,1,3,2,1,0,40,0.0,0.0,0.9065178,0.0,0.9703619,1,0.09931535
25,2,0,1,3,1,1,40,0.0,0.0,0.7017096,0.0,0.69842696,1,0.076693
46,2,6,1,0,0,1,40,0.0,0.0,0.9031916,0.0,0.85136807,1,0.08017319
45,2,6,0,0,1,1,76,1.0,0.0,0.94981784,0.0,0.91371137,1,0.089042515
29,2,1,1,2,1,1,75,0.0,1.0,0.2631837,1.0,0.29928505,1,0.0766947
42,0,3,2,4,0,0,60,0.0,0.0,0.9024767,0.0,0.8004559,1,0.076752536
34,2,7,0,5,1,0,50,0.0,0.0,0.91090924,0.0,0.9097672,1,0.09558491
60,0,0,0,2,1,1,40,1.0,0.0,0.76711303,1.0,0.48144448,1,0.07669462
19,2,7,3,5,1,0,40,0.0,0.0,0.98923147,0.0,0.991569,1,0.10168793
21,2,0,3,5,1,0,8,0.0,0.0,0.9955636,0.0,0.9691854,1,0.09391985
31,2,4,3,2,1,0,46,0.0,0.0,0.7540219,0.0,0.6600293,1,0.07662526
53,2,4,1,5,1,1,45,1.0,1.0,0.10287881,1.0,0.24022889,1,0.07669411
35,1,3,1,1,1,0,25,0.0,0.0,0.8841529,0.0,0.8111613,1,0.083024584
51,0,4,0,5,1,0,40,0.0,0.0,0.7538308,0.0,0.7378801,1,0.07654601
31,0,1,0,4,1,1,50,1.0,0.0,0.78888816,0.0,0.9557259,1,0.0842785
37,2,7,1,0,1,1,52,0.0,0.0,0.5425192,0.0,0.60485655,1,0.0766426
29,2,2,1,2,0,1,60,0.0,1.0,0.20844626,1.0,0.19726348,1,0.076694034
68,1,3,1,1,1,1,15,0.0,0.0,0.77097213,0.0,0.78575444,1,0.07672158
24,2,3,1,0,1,1,40,0.0,0.0,0.8800798,0.0,0.9189955,1,0.08160159
46,2,6,2,0,1,0,40,0.0,0.0,0.9875376,0.0,0.9894056,1,0.098579034
53,2,7,1,0,0,1,40,1.0,0.0,0.64546704,0.0,0.59758615,1,0.07664064
54,2,7,1,2,1,1,40,1.0,1.0,0.34847653,1.0,0.43698335,1,0.076695696
21,2,7,3,0,1,1,55,0.0,0.0,0.9765818,0.0,0.9798227,1,0.099296816
56,2,2,1,2,1,1,50,0.0,1.0,0.09804946,1.0,0.20082694,1,0.07669417
35,3,5,1,2,1,1,65,1.0,1.0,0.13779092,1.0,0.2076,1,0.076694235
46,2,7,1,5,1,1,40,0.0,1.0,0.40723687,0.0,0.5217607,1,0.07667128
36,3,7,0,3,1,0,35,0.0,0.0,0.9739114,0.0,0.9829648,1,0.09805907
20,2,7,3,0,1,0,40,0.0,0.0,0.9917338,0.0,0.985902,1,0.10059824
29,2,3,3,0,1,1,40,0.0,0.0,0.98666877,0.0,0.98199785,1,0.10115333
37,2,7,0,4,0,0,40,0.0,0.0,0.9698386,0.0,0.9750946,1,0.101368204
17,2,6,3,0,1,1,16,0.0,0.0,0.9999947,0.0,0.9966324,1,0.103273615
32,2,3,0,0,1,0,38,0.0,0.0,0.9828694,0.0,0.9871887,1,0.101651214
23,2,3,3,5,1,1,40,0.0,0.0,0.9840222,0.0,0.9839259,1,0.10117243
45,3,4,0,3,1,0,42,1.0,0.0,0.7663033,0.0,0.5267776,1,0.07663281
26,2,3,3,0,1,1,40,0.0,0.0,0.98947394,0.0,0.9826135,1,0.10118825
31,2,3,0,4,1,0,99,1.0,0.0,0.87692666,1.0,0.3333531,1,0.07669317
79,2,7,1,2,1,1,20,0.0,1.0,0.3963607,0.0,0.7600643,1,0.07667942
