age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL,AL_proba,GL,GL_proba,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.94357896,0.0,0.98035175,0,0.99984574
27,2,1,3,2,1,0,40,0.0,0.0,0.90664315,0.0,0.8927885,0,0.97916085
25,2,0,1,3,1,1,40,0.0,0.0,0.70139873,0.0,0.86322904,1,0.11550674
46,2,6,1,0,0,1,40,0.0,0.0,0.902921,0.0,0.8796476,0,0.997329
45,2,6,0,0,1,1,76,1.0,0.0,0.94974065,0.0,0.96095985,0,0.99943286
29,2,1,1,2,1,1,75,0.0,1.0,0.26005542,1.0,0.20171827,1,1.0803446e-07
42,0,3,2,4,0,0,60,0.0,0.0,0.90165806,0.0,0.9337498,0,0.99918
34,2,7,0,5,1,0,50,0.0,0.0,0.909895,0.0,0.9729742,0,0.999845
60,0,0,0,2,1,1,40,1.0,0.0,0.76778674,0.0,0.9193786,0,0.9899408
19,2,7,3,5,1,0,40,0.0,0.0,0.9892766,0.0,0.9682227,0,0.99978286
21,2,0,3,5,1,0,8,0.0,0.0,0.9956904,0.0,0.94891435,0,0.99974865
31,2,4,3,2,1,0,46,0.0,0.0,0.7548108,0.0,0.739728,1,0.31857002
53,2,4,1,5,1,1,45,1.0,1.0,0.10210812,1.0,0.15434992,1,1.979243e-07
35,1,3,1,1,1,0,25,0.0,0.0,0.88607055,0.0,0.9552242,0,0.99974483
51,0,4,0,5,1,0,40,0.0,0.0,0.7527861,0.0,0.54427165,0,0.65083075
31,0,1,0,4,1,1,50,1.0,0.0,0.7867766,0.0,0.8819485,0,0.959923
37,2,7,1,0,1,1,52,0.0,0.0,0.5413799,0.0,0.56682646,1,0.007049609
29,2,2,1,2,0,1,60,0.0,1.0,0.20652169,1.0,0.1757952,1,1.2856798e-07
68,1,3,1,1,1,1,15,0.0,0.0,0.76929647,0.0,0.9602731,0,0.9976088
24,2,3,1,0,1,1,40,0.0,0.0,0.879516,0.0,0.87161016,0,0.98552483
46,2,6,2,0,1,0,40,0.0,0.0,0.9873307,0.0,0.94288355,0,0.9993969
53,2,7,1,0,0,1,40,1.0,0.0,0.64344156,0.0,0.57208264,1,0.05382538
54,2,7,1,2,1,1,40,1.0,1.0,0.34813666,1.0,0.3528422,1,9.69006e-06
21,2,7,3,0,1,1,55,0.0,0.0,0.9765722,0.0,0.9650587,0,0.99981195
56,2,2,1,2,1,1,50,0.0,1.0,0.097290576,1.0,0.17330259,1,1.0399784e-07
35,3,5,1,2,1,1,65,1.0,1.0,0.13655698,1.0,0.17521578,1,6.368025e-07
46,2,7,1,5,1,1,40,0.0,1.0,0.40745395,1.0,0.4606489,1,0.00015930604
36,3,7,0,3,1,0,35,0.0,0.0,0.973237,0.0,0.9369587,0,0.9988411
20,2,7,3,0,1,0,40,0.0,0.0,0.99173343,0.0,0.98204184,0,0.99983644
29,2,3,3,0,1,1,40,0.0,0.0,0.98655736,0.0,0.9852458,0,0.9998118
37,2,7,0,4,0,0,40,0.0,0.0,0.9695647,0.0,0.96084595,0,0.99981934
17,2,6,3,0,1,1,16,0.0,0.0,0.9999951,0.0,0.98597926,0,0.9998264
32,2,3,0,0,1,0,38,0.0,0.0,0.98304033,0.0,0.95182323,0,0.99973994
23,2,3,3,5,1,1,40,0.0,0.0,0.9838326,0.0,0.9938625,0,0.99990344
45,3,4,0,3,1,0,42,1.0,0.0,0.7634282,0.0,0.8613173,0,0.7311011
26,2,3,3,0,1,1,40,0.0,0.0,0.9893947,0.0,0.98387766,0,0.99981457
31,2,3,0,4,1,0,99,1.0,0.0,0.87700045,0.0,0.9048359,0,0.60882545
79,2,7,1,2,1,1,20,0.0,1.0,0.3951251,1.0,0.48616558,1,2.5483385e-05
49,2,3,0,4,1,0,40,0.0,0.0,0.9537623,0.0,0.9233705,0,0.99971896
42,2,1,1,3,1,1,40,1.0,1.0,0.29986703,1.0,0.25635237,1,3.7445835e-07
67,2,4,1,3,1,1,30,1.0,1.0,0.20354533,1.0,0.26012617,1,1.8098098e-07
35,2,2,1,5,1,1,45,1.0,1.0,0.1288315,1.0,0.17096502,1,1.2381489e-07
44,2,1,0,5,1,1,50,1.0,0.0,0.55419123,0.0,0.5738574,1,0.16978689
31,2,3,1,0,1,1,40,0.0,0.0,0.829465,0.0,0.8239851,0,0.9113308
37,0,1,0,2,1,0,55,0.0,0.0,0.7760607,0.0,0.7641759,1,0.29067647
22,0,0,3,5,1,1,40,0.0,0.0,0.9655286,0.0,0.9224758,0,0.9991779
34,2,7,1,0,1,1,40,0.0,0.0,0.708999,0.0,0.6809169,0,0.5082483
45,2,3,0,0,1,1,40,0.0,0.0,0.9502113,0.0,0.9491892,0,0.99957556
51,2,3,1,0,0,1,40,0.0,0.0,0.77361584,0.0,0.613087,1,0.1835244
28,2,6,1,5,1,0,40,0.0,0.0,0.9083416,0.0,0.92653215,0,0.99843997
38,2,0,0,5,0,0,40,0.0,0.0,0.93348783,0.0,0.93623817,0,0.9996971
40,2,6,0,0,1,0,40,0.0,0.0,0.990558,0.0,0.95350724,0,0.9996275
50,2,7,1,4,1,1,60,1.0,1.0,0.3688994,1.0,0.35874838,1,4.4587898e-05
33,2,6,0,0,1,1,40,0.0,0.0,0.98711216,0.0,0.9579416,0,0.9996511
49,2,1,1,5,1,1,40,0.0,1.0,0.21334952,1.0,0.22794634,1,1.4256933e-07
44,2,0,0,0,1,0,45,0.0,0.0,0.917133,0.0,0.86455506,0,0.99976367
23,2,3,1,4,1,1,50,0.0,0.0,0.7923509,0.0,0.81358975,0,0.891005
20,2,3,3,0,1,1,40,0.0,0.0,0.9950108,0.0,0.9811437,0,0.99982303
32,2,3,1,4,1,0,20,0.0,0.0,0.9289165,0.0,0.8283926,0,0.9952923
64,2,6,0,4,1,0,12,0.0,0.0,0.99309784,0.0,0.95948744,0,0.99972934
28,2,1,1,2,1,1,40,0.0,1.0,0.37314802,1.0,0.38910502,1,2.8323998e-07
47,0,6,1,0,1,1,40,0.0,0.0,0.8886615,0.0,0.8762499,0,0.9968393
37,2,7,0,5,1,0,40,0.0,0.0,0.9402682,0.0,0.97387224,0,0.99984574
47,3,3,1,0,1,1,48,0.0,0.0,0.68671507,0.0,0.6938404,1,0.29708743
59,1,6,0,1,1,0,40,0.0,0.0,0.98266673,0.0,0.98041,0,0.999764
22,2,7,3,2,1,0,20,0.0,0.0,0.9910826,0.0,0.94838524,0,0.9997384
47,2,6,1,0,1,1,40,1.0,0.0,0.8777876,0.0,0.87639284,0,0.9970084
26,2,0,3,4,1,1,40,0.0,0.0,0.97681314,0.0,0.98253775,0,0.9999099
44,2,0,1,2,1,1,50,1.0,1.0,0.28425354,1.0,0.28055638,1,1.2816685e-06
33,2,3,3,0,1,0,40,0.0,0.0,0.9851029,0.0,0.9869951,0,0.9998098
46,2,7,0,5,1,0,40,0.0,0.0,0.9213695,0.0,0.9585622,0,0.99981004
