age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0,0.7073686
27,2,1,3,2,1,0,40,0.0,0,0.707399
25,2,0,1,3,1,1,40,0.0,0,0.7073403
46,2,6,1,0,0,1,40,0.0,0,0.70720667
45,2,6,0,0,1,1,76,1.0,0,0.7073402
29,2,1,1,2,1,1,75,0.0,0,0.7073789
42,0,3,2,4,0,0,60,0.0,0,0.7075929
34,2,7,0,5,1,0,50,0.0,0,0.70735705
60,0,0,0,2,1,1,40,1.0,0,0.70736516
19,2,7,3,5,1,0,40,0.0,0,0.7074009
21,2,0,3,5,1,0,8,0.0,0,0.7075812
31,2,4,3,2,1,0,46,0.0,0,0.7073845
53,2,4,1,5,1,1,45,1.0,0,0.7072838
35,1,3,1,1,1,0,25,0.0,0,0.70746917
51,0,4,0,5,1,0,40,0.0,0,0.70731825
31,0,1,0,4,1,1,50,1.0,0,0.707477
37,2,7,1,0,1,1,52,0.0,0,0.7074073
29,2,2,1,2,0,1,60,0.0,0,0.70723253
68,1,3,1,1,1,1,15,0.0,0,0.70745265
24,2,3,1,0,1,1,40,0.0,0,0.7073071
46,2,6,2,0,1,0,40,0.0,0,0.7073555
53,2,7,1,0,0,1,40,1.0,0,0.7074049
54,2,7,1,2,1,1,40,1.0,0,0.7074031
21,2,7,3,0,1,1,55,0.0,0,0.70745915
56,2,2,1,2,1,1,50,0.0,0,0.7073063
35,3,5,1,2,1,1,65,1.0,0,0.7074798
46,2,7,1,5,1,1,40,0.0,0,0.7072599
36,3,7,0,3,1,0,35,0.0,0,0.70735407
20,2,7,3,0,1,0,40,0.0,0,0.707442
29,2,3,3,0,1,1,40,0.0,0,0.7074125
37,2,7,0,4,0,0,40,0.0,0,0.7074297
17,2,6,3,0,1,1,16,0.0,0,0.7075807
32,2,3,0,0,1,0,38,0.0,0,0.7072265
23,2,3,3,5,1,1,40,0.0,0,0.707462
45,3,4,0,3,1,0,42,1.0,0,0.70735824
26,2,3,3,0,1,1,40,0.0,0,0.7075063
31,2,3,0,4,1,0,99,1.0,0,0.7073535
79,2,7,1,2,1,1,20,0.0,0,0.70744365
49,2,3,0,4,1,0,40,0.0,0,0.7071935
42,2,1,1,3,1,1,40,1.0,0,0.70736766
67,2,4,1,3,1,1,30,1.0,0,0.7073247
35,2,2,1,5,1,1,45,1.0,0,0.7072869
44,2,1,0,5,1,1,50,1.0,0,0.70737046
31,2,3,1,0,1,1,40,0.0,0,0.7072987
37,0,1,0,2,1,0,55,0.0,0,0.70746106
22,0,0,3,5,1,1,40,0.0,0,0.7075527
34,2,7,1,0,1,1,40,0.0,0,0.70741016
45,2,3,0,0,1,1,40,0.0,0,0.7072669
51,2,3,1,0,0,1,40,0.0,0,0.7072912
28,2,6,1,5,1,0,40,0.0,0,0.7073426
38,2,0,0,5,0,0,40,0.0,0,0.7073779
40,2,6,0,0,1,0,40,0.0,0,0.70734906
50,2,7,1,4,1,1,60,1.0,0,0.70736545
33,2,6,0,0,1,1,40,0.0,0,0.70733625
49,2,1,1,5,1,1,40,0.0,0,0.70730406
44,2,0,0,0,1,0,45,0.0,0,0.70730865
23,2,3,1,4,1,1,50,0.0,0,0.70704323
20,2,3,3,0,1,1,40,0.0,0,0.7074739
32,2,3,1,4,1,0,20,0.0,0,0.70705
64,2,6,0,4,1,0,12,0.0,0,0.70740706
28,2,1,1,2,1,1,40,0.0,0,0.7073691
47,0,6,1,0,1,1,40,0.0,0,0.7072149
37,2,7,0,5,1,0,40,0.0,0,0.7073516
47,3,3,1,0,1,1,48,0.0,0,0.707221
59,1,6,0,1,1,0,40,0.0,0,0.70718277
22,2,7,3,2,1,0,20,0.0,0,0.7073986
47,2,6,1,0,1,1,40,1.0,0,0.70720583
26,2,0,3,4,1,1,40,0.0,0,0.7075183
44,2,0,1,2,1,1,50,1.0,0,0.70725405
33,2,3,3,0,1,0,40,0.0,0,0.70738655
46,2,7,0,5,1,0,40,0.0,0,0.70733285
50,2,1,1,0,1,1,40,0.0,0,0.70734787
44,2,5,1,2,1,1,50,1.0,0,0.7073457
21,2,3,3,0,1,1,40,0.0,0,0.70750004
33,2,7,0,0,1,1,40,0.0,0,0.70728
28,2,7,3,0,1,1,50,0.0,0,0.7074445
