age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL,AL_proba,AGbr,AGbr_proba,GL,GL_proba,GGbr,GGbr_proba,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.9440569,0.0,0.9558286759475785,0.0,0.9557365,0.0,0.9480526310950923,0,0.9997342
27,2,1,3,2,1,0,40,0.0,0.0,0.90697014,0.0,0.9556590131425386,0.0,0.92631483,0.0,0.9136880249683595,0,0.9966282
25,2,0,1,3,1,1,40,0.0,0.0,0.7045644,0.0,0.7670628651929939,0.0,0.7256056,0.0,0.68352847957984,1,0.3724581
46,2,6,1,0,0,1,40,0.0,0.0,0.903509,0.0,0.86065181221261,0.0,0.8356258,0.0,0.88730990822859,0,0.99883705
45,2,6,0,0,1,1,76,1.0,0.0,0.9500064,0.0,0.908180394438211,0.0,0.95410854,0.0,0.9695033553844677,0,0.9998492
29,2,1,1,2,1,1,75,0.0,1.0,0.26117098,1.0,0.30744729396829185,1.0,0.34659213,1.0,0.27880652065932066,1,1.4962527e-07
42,0,3,2,4,0,0,60,0.0,0.0,0.9023775,0.0,0.951307712849119,0.0,0.92803454,0.0,0.931594069651438,0,0.9977938
34,2,7,0,5,1,0,50,0.0,0.0,0.9106061,0.0,0.947012967837151,0.0,0.8797624,0.0,0.9355675482863647,0,0.9995925
60,0,0,0,2,1,1,40,1.0,0.0,0.76875496,0.0,0.6041386820043493,0.0,0.7605555,0.0,0.8272345589864807,0,0.9992046
19,2,7,3,5,1,0,40,0.0,0.0,0.9892259,0.0,0.9886839775798411,0.0,0.983798,0.0,0.9664005970477406,0,0.9998925
21,2,0,3,5,1,0,8,0.0,0.0,0.9955786,0.0,0.9823513674989599,0.0,0.9905708,0.0,0.9848007654604093,0,0.99991083
31,2,4,3,2,1,0,46,0.0,0.0,0.7558644,0.0,0.8644891221526771,0.0,0.6449363,0.0,0.634120849015249,1,0.2986511
53,2,4,1,5,1,1,45,1.0,1.0,0.102704704,1.0,0.10024258165521516,1.0,0.12320703,1.0,0.1619786643443204,1,1.3718764e-07
