Unnamed: 0,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf,full_linear,full_net,unaware_linear,unaware_net,level2_lin_True,level2_lin_False,level3_lin_True,level3_lin_False
5721,1.0,1.0,1.123710880302353,1.8511864843714103,MW,2.3530935213535926,0.918452380952,1.0,0.4406617084695357,-0.06205091,0.4954708091647361,0.9003782,0.041490868,3.1296237,-0.48771605,0.11898161
16803,1.0,1.0,1.6853959997583738,-0.08670859840393498,NE,-0.48127468860864375,0.879761904762,1.0,0.34818915704458653,-2.3115976,0.3947592676115973,-0.0070138276,0.058544345,-0.60083747,-0.4110974,-0.18423672
20533,1.0,1.0,-2.2463998364337714,0.8822389429837376,Mt,-0.8490934639472547,0.655357142857,0.0,-0.24174745426235011,1.5655624,-0.4304036768590896,0.6983255,-0.0090988865,0.14576663,0.13386793,0.49560916
18141,1.0,1.0,0.0003406413903116171,-0.8134192544446902,SC,-0.96809365596857,0.7386904761900001,0.0,-0.016808587230617622,-1.3482662,-0.09760381646459758,-0.6261936,0.0027291635,-0.24113941,0.059441335,0.18688846
996,1.0,0.0,-0.3741161049137022,1.1244758283306562,GL,-0.6868204748272793,0.7898809523810001,1.0,0.07895033739988266,1.0560212,0.04800612074224691,0.12194863,-0.0005159965,0.7875886,0.014113329,0.27648133
71,1.0,1.0,0.0003406413903116171,1.3667127136775734,GL,0.6221816374071887,0.824404761905,1.0,0.19732987895273302,0.34064552,0.1672287531139396,0.31720957,-0.014987125,0.8832031,-0.21232185,-0.04193227
16197,1.0,1.0,1.31093925345436,1.6089495990244918,GL,-1.3250942320325159,0.921428571429,1.0,0.4494927961766546,-0.29540044,0.5109433637541596,0.7515179,0.007690252,0.39810443,-0.4660785,-0.50429213
4415,1.0,1.0,0.3747973876943254,-0.3289454837508534,MS,-0.8382752646725896,0.782738095238,1.0,0.09602623982066494,-1.0571984,0.051044656971377195,-0.13229775,0.030168574,-0.46428418,0.4460561,-0.18728717
5867,1.0,1.0,-0.1868877317616953,0.8822389429837376,FW,0.6546362352311837,0.7928571428569999,1.0,0.11711930251783065,0.20690274,0.06347867533167038,0.01614429,0.032556262,0.5118168,0.17196584,-0.041463748
19311,1.0,1.0,-0.748572851217716,-0.08670859840393498,NE,0.8060910250764941,0.717261904762,1.0,-0.07592610096835428,-0.043895736,-0.18891987588657355,-0.23627426,0.050686315,-0.26665658,0.024757918,0.2395574
1009,1.0,0.0,-0.3741161049137022,0.39776517228990077,NE,0.9142730178231443,0.7613095238099999,1.0,0.0075708486720990065,0.698843,-0.040271402450598924,-0.22334003,0.04757294,-0.063419044,-0.063870735,-0.15156098
22258,1.0,1.0,1.123710880302353,-0.3289454837508534,Mt,0.3733630540898931,0.832738095238,1.0,0.22652324228618514,-1.8964441,0.23063823958619897,-0.022429436,0.058563635,0.33220655,0.8998087,-0.033538505
20054,1.0,1.0,-1.12302959752173,1.3667127136775734,MS,-0.3406380980379985,0.749404761905,0.0,0.0015843752544525413,1.078309,-0.10216162080829315,0.47307226,1.4927715,1.2486507,-0.43573347,0.5242705
15587,1.0,0.0,-0.748572851217716,0.15552828694298237,GL,-0.37309269586199356,0.726785714286,1.0,-0.0814708154699223,0.8770776,-0.15949403482229174,-0.22477281,0.038712397,-0.024762467,0.31844273,0.15656732
24762,1.0,1.0,0.5620257608463324,-0.08670859840393498,NE,0.784454626527164,0.804761904762,1.0,0.15244365334630616,-1.0109017,0.1253688936893646,0.05600965,0.063629195,-0.016621396,-0.33239856,-0.120213166
16799,1.0,1.0,1.31093925345436,0.15552828694298237,NE,0.0920898729486025,0.864285714286,1.0,0.3067338187210875,-1.673961,0.33438831736846825,0.1580258,-0.06173052,0.32521892,0.15029842,0.43031615
2672,1.0,1.0,0.18756901454231853,-0.8134192544446902,GL,-0.546183884256634,0.75119047619,1.0,0.015815663385762457,-1.5028657,-0.05270542081089211,-0.6003534,-0.18881871,-0.42061234,-0.37728307,-0.14368539
