method,RMSE,MAE,sinkhorn,energy,gaussian,laplacian,R2score
full_linear,0.8708,0.7044,0.5288,0.8231,0.7233,0.5486,0.12020528521205975
full_net,0.9714,0.7806,0.0502,0.124,0.111,0.1275,-0.09487066041546455
unaware_linear,0.8891,0.7175,0.0974,0.2016,0.1951,0.171,0.08292954674637254
unaware_net,0.9581,0.7671,0.003,0.0093,0.0019,0.0168,-0.06497840350983797
level2_lin_True,0.9886,0.7925,0.0086,0.0258,0.0219,0.0306,-0.1340007742148206
level2_lin_False,0.9561,0.765,0.0011,0.0064,0.0006,0.0122,-0.06050015423350685
level3_lin_True,0.9572,0.7666,-0.0015,0.0026,0.0014,0.0042,-0.06300865880447715
level3_lin_False,0.9815,0.785,-0.0011,0.0026,0.0016,0.0036,-0.11778305569942127
AL_prediction,0.8554,0.6906,0.6175,0.8365,0.6652,0.4914,0.15098525417559971
GL_prediction,0.8764,0.7084,0.1412,0.2227,0.1942,0.1561,0.10890053099286501
GD_prediction,0.8928,0.7201,0.0581,0.1642,0.1547,0.1751,0.07511188262939639
