sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
1,28,0,1,0,0,0,5,0,0.0,1.0,0.35713154,1.0,0.27984238,1,0.019982107
1,26,0,1,0,0,0,1,0,0.0,1.0,0.49182135,0.0,0.67242527,0,0.68084717
1,37,0,1,0,0,0,9,0,0.0,1.0,0.3371122,1.0,0.34975082,1,0.01782852
1,26,0,1,0,0,0,2,0,1.0,1.0,0.43141007,1.0,0.45573103,1,0.3416284
1,30,0,1,4,0,0,12,0,1.0,1.0,0.2241168,1.0,0.28610635,1,0.0033151186
1,32,0,1,1,0,0,2,1,1.0,1.0,0.3291325,1.0,0.28065425,1,0.012773899
0,24,2,1,0,0,0,2,0,1.0,1.0,0.46258587,1.0,0.36184108,1,0.24886467
0,21,2,1,0,0,0,0,1,0.0,1.0,0.47651106,0.0,0.59206676,0,0.6867469
1,57,1,0,0,0,0,1,0,0.0,0.0,0.80030555,0.0,0.7926151,0,0.9784042
1,28,0,1,0,0,0,0,1,1.0,0.0,0.6357026,0.0,0.6749323,0,0.98881257
0,20,2,1,0,0,1,0,1,1.0,1.0,0.24134976,1.0,0.41335058,1,0.06288938
1,31,0,0,0,0,0,8,1,0.0,1.0,0.338857,1.0,0.32770473,1,0.019440608
1,26,0,0,0,0,0,0,1,0.0,0.0,0.62181246,0.0,0.63589317,0,0.98768216
1,47,1,1,0,0,0,5,0,0.0,0.0,0.5914657,0.0,0.5237629,1,0.46400887
1,44,0,0,0,0,0,4,1,0.0,0.0,0.5760151,0.0,0.56054235,0,0.6916267
1,29,0,0,0,0,0,0,1,0.0,0.0,0.6867826,0.0,0.69057083,0,0.98916465
1,27,0,1,0,0,0,4,0,1.0,1.0,0.37147796,1.0,0.2870767,1,0.032286648
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357026,0.0,0.6749323,0,0.98881257
1,23,2,1,0,0,0,2,0,1.0,1.0,0.3547988,1.0,0.37752116,1,0.042173997
1,35,0,1,0,0,0,6,0,1.0,1.0,0.40870887,1.0,0.37666577,1,0.04777887
1,30,0,0,0,0,0,0,1,0.0,0.0,0.70381,0.0,0.7062385,0,0.9894784
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357026,0.0,0.6749323,0,0.98881257
1,28,0,1,0,0,0,1,1,1.0,0.0,0.5310273,0.0,0.6844338,0,0.78444636
0,27,0,0,0,0,0,2,0,0.0,1.0,0.49578172,0.0,0.57931244,0,0.57589805
1,32,0,1,0,0,0,8,0,1.0,1.0,0.32573295,1.0,0.29902625,1,0.012526339
0,24,2,1,0,0,0,0,0,1.0,0.0,0.65486926,0.0,0.5867191,0,0.9534574
1,28,0,0,0,0,0,8,0,1.0,1.0,0.2827596,1.0,0.19186282,1,0.006258703
0,39,0,1,0,0,0,3,0,1.0,0.0,0.5800736,0.0,0.59373426,0,0.7286172
1,22,2,0,0,0,1,1,0,0.0,0.0,0.5773564,1.0,0.43837684,1,0.0018304661
1,39,0,0,0,0,0,1,0,0.0,0.0,0.66748714,0.0,0.6928373,0,0.87782997
1,29,0,1,0,0,0,0,0,0.0,0.0,0.7069397,0.0,0.66723746,0,0.98844784
0,45,1,0,0,0,0,0,1,0.0,0.0,0.864749,0.0,0.81785023,0,0.99119616
0,26,0,1,0,0,0,1,1,0.0,0.0,0.55686784,0.0,0.6853037,0,0.79788995
0,45,1,0,0,0,0,1,1,0.0,0.0,0.7594322,0.0,0.7459078,0,0.974585
1,52,1,0,0,0,0,1,0,0.0,0.0,0.76321626,0.0,0.76784515,0,0.9631141
1,51,1,1,0,0,0,1,0,0.0,0.0,0.7238449,0.0,0.7573587,0,0.958032
0,29,0,0,0,0,0,1,0,1.0,0.0,0.5822431,0.0,0.68696713,0,0.80296296
1,31,0,1,0,0,0,13,1,1.0,1.0,0.2958359,1.0,0.22462082,1,0.0064009028
1,47,1,0,0,0,0,0,1,0.0,0.0,0.83537865,0.0,0.79564816,0,0.990831
1,21,2,0,0,0,0,0,0,0.0,0.0,0.55365944,1.0,0.39957952,1,0.37625307
1,43,0,1,0,0,0,7,0,0.0,1.0,0.43043262,1.0,0.40679342,1,0.07787925
1,21,2,0,0,0,0,1,0,0.0,1.0,0.3327573,1.0,0.4082327,1,0.050899778
1,20,2,1,1,0,0,1,0,1.0,1.0,0.13798392,1.0,0.086815596,1,0.0018010075
0,42,0,0,0,0,0,3,0,0.0,0.0,0.5810457,0.0,0.60682636,0,0.7683088
0,42,0,1,0,0,0,2,1,0.0,0.0,0.76658654,0.0,0.70557654,0,0.9358865
0,32,0,1,0,0,0,0,0,0.0,0.0,0.7360078,0.0,0.757095,0,0.99037313
1,36,0,0,0,0,0,9,1,1.0,1.0,0.37396318,1.0,0.3635589,1,0.028415568
1,63,1,1,0,0,0,1,0,0.0,0.0,0.77588356,0.0,0.7890375,0,0.98494184
0,28,0,1,0,0,0,3,0,1.0,1.0,0.46474302,1.0,0.49271637,1,0.32859793
1,55,1,0,0,0,0,0,0,0.0,0.0,0.9052314,0.0,0.82642823,0,0.9911737
1,24,2,0,0,0,2,1,0,0.0,0.0,0.67179775,0.0,0.51689565,1,0.0020424128
1,62,1,1,0,0,0,15,0,0.0,1.0,0.46925503,1.0,0.34442616,1,0.074585676
1,30,0,1,0,0,0,0,0,0.0,0.0,0.7200393,0.0,0.68318176,0,0.98886466
0,61,1,1,0,0,0,1,0,1.0,0.0,0.7693106,0.0,0.7852839,0,0.98704857
0,32,0,1,0,0,0,1,0,0.0,0.0,0.6221753,0.0,0.6812576,0,0.8552222
1,34,0,1,0,0,0,8,1,0.0,1.0,0.4383781,1.0,0.35982543,1,0.032369405
1,23,2,1,0,0,0,1,1,1.0,1.0,0.37680668,1.0,0.47633916,1,0.35318416
1,43,0,1,0,0,0,1,0,1.0,0.0,0.7185997,0.0,0.7029946,0,0.914759
